ID,ECO_ACT_ECO_ACT,ENV_OB_ID,CRITER_CRITER,LVL1_VAR,LVL1_VAL,LVL2_VAR,LVL2_VAL,LVL3_VAR,LVL3_VAL,LVL4_VAR,LVL4_VAL,SUBST
73,EA_C_MA,POL,POL_NNC_3,TYP_COMB,LIGNITE,COMB_RANGE,100-300,COMB_UNIT,All Types,TYP_PLANT,New,NOX
74,EA_C_MA,POL,POL_HNC_29,TYP_COMB,LIGNITE,COMB_RANGE,>=1000,COMB_UNIT,PCBOL,TYP_PLANT,New,HIF
75,EA_C_MA,POL,POL_SEC_16,TYP_COMB,LIGNITE,COMB_RANGE,<100,COMB_UNIT,All Types,TYP_PLANT,Existing,SO2
76,EA_C_MA,POL,POL_SEC_18,TYP_COMB,LIGNITE,COMB_RANGE,100-300,COMB_UNIT,All Types,TYP_PLANT,Existing,SO2
77,EA_C_MA,POL,POL_HEC_30,TYP_COMB,LIGNITE,COMB_RANGE,300-1000,COMB_UNIT,PCBOL,TYP_PLANT,Existing,HIF
78,EA_C_MA,POL,POL_HNC_29,TYP_COMB,LIGNITE,COMB_RANGE,300-1000,COMB_UNIT,PCBOL,TYP_PLANT,New,HIF
79,EA_C_MA,POL,POL_SNC_15,TYP_COMB,LIGNITE,COMB_RANGE,<100,COMB_UNIT,All Types,TYP_PLANT,New,SO2
80,EA_C_MA,POL,POL_SNC_17,TYP_COMB,LIGNITE,COMB_RANGE,100-300,COMB_UNIT,All Types,TYP_PLANT,New,SO2
81,EA_C_MA,POL,POL_MEL_46,TYP_COMB,LIGNITE,COMB_RANGE,>=1000,COMB_UNIT,PCBOL,TYP_PLANT,Existing,Mercury
82,EA_C_MA,POL,POL_MNL_45,TYP_COMB,LIGNITE,COMB_RANGE,>=1000,COMB_UNIT,PCBOL,TYP_PLANT,New,Mercury
83,EA_C_MA,POL,POL_MEL_46,TYP_COMB,LIGNITE,COMB_RANGE,300-1000,COMB_UNIT,PCBOL,TYP_PLANT,Existing,Mercury
84,EA_C_MA,POL,POL_MNL_45,TYP_COMB,LIGNITE,COMB_RANGE,300-1000,COMB_UNIT,PCBOL,TYP_PLANT,New,Mercury
85,EA_C_MA,POL,POL_DEC_38,TYP_COMB,LIGNITE,COMB_RANGE,>=1000,COMB_UNIT,FLBOL,TYP_PLANT,Existing,dust
86,EA_C_MA,POL,POL_DNC_37,TYP_COMB,LIGNITE,COMB_RANGE,>=1000,COMB_UNIT,FLBOL,TYP_PLANT,New,dust
87,EA_C_MA,POL,POL_DEC_36,TYP_COMB,LIGNITE,COMB_RANGE,300-1000,COMB_UNIT,FLBOL,TYP_PLANT,Existing,dust
88,EA_C_MA,POL,POL_DNC_35,TYP_COMB,LIGNITE,COMB_RANGE,300-1000,COMB_UNIT,FLBOL,TYP_PLANT,New,dust
89,EA_C_MA,POL,POL_HEC_26,TYP_COMB,LIGNITE,COMB_RANGE,>=1000,COMB_UNIT,FLBOL,TYP_PLANT,Existing,HCI
90,EA_C_MA,POL,POL_HNC_25,TYP_COMB,LIGNITE,COMB_RANGE,>=1000,COMB_UNIT,FLBOL,TYP_PLANT,New,HCI
91,EA_C_MA,POL,POL_HEC_26,TYP_COMB,LIGNITE,COMB_RANGE,300-1000,COMB_UNIT,FLBOL,TYP_PLANT,Existing,HCI
92,EA_C_MA,POL,POL_HNC_25,TYP_COMB,LIGNITE,COMB_RANGE,300-1000,COMB_UNIT,FLBOL,TYP_PLANT,New,HCI
93,EA_C_MA,POL,POL_HEC_30,TYP_COMB,LIGNITE,COMB_RANGE,>=1000,COMB_UNIT,FLBOL,TYP_PLANT,Existing,HIF
94,EA_C_MA,POL,POL_HNC_29,TYP_COMB,LIGNITE,COMB_RANGE,>=1000,COMB_UNIT,FLBOL,TYP_PLANT,New,HIF
95,EA_C_MA,POL,POL_HEC_30,TYP_COMB,LIGNITE,COMB_RANGE,300-1000,COMB_UNIT,FLBOL,TYP_PLANT,Existing,HIF
96,EA_C_MA,POL,POL_HNC_29,TYP_COMB,LIGNITE,COMB_RANGE,300-1000,COMB_UNIT,FLBOL,TYP_PLANT,New,HIF
97,EA_C_MA,POL,POL_MEL_46,TYP_COMB,LIGNITE,COMB_RANGE,>=1000,COMB_UNIT,FLBOL,TYP_PLANT,Existing,Mercury
98,EA_C_MA,POL,POL_MNL_45,TYP_COMB,LIGNITE,COMB_RANGE,>=1000,COMB_UNIT,FLBOL,TYP_PLANT,New,Mercury
99,EA_C_MA,POL,POL_MEL_46,TYP_COMB,LIGNITE,COMB_RANGE,300-1000,COMB_UNIT,FLBOL,TYP_PLANT,Existing,Mercury
100,EA_C_MA,POL,POL_MNL_45,TYP_COMB,LIGNITE,COMB_RANGE,300-1000,COMB_UNIT,FLBOL,TYP_PLANT,New,Mercury
101,EA_C_MA,POL,POL_NECF_6,TYP_COMB,LIGNITE,COMB_RANGE,>=1000,COMB_UNIT,FLBOL,TYP_PLANT,Existing,NOX
102,EA_C_MA,POL,POL_NNCF_5,TYP_COMB,LIGNITE,COMB_RANGE,>=1000,COMB_UNIT,FLBOL,TYP_PLANT,New,NOX
103,EA_C_MA,POL,POL_NECF_6,TYP_COMB,LIGNITE,COMB_RANGE,300-1000,COMB_UNIT,FLBOL,TYP_PLANT,Existing,NOX
104,EA_C_MA,POL,POL_NNCF_5,TYP_COMB,LIGNITE,COMB_RANGE,300-1000,COMB_UNIT,FLBOL,TYP_PLANT,New,NOX
105,EA_C_MA,POL,POL_NECF_6,TYP_COMB,LIGNITE,COMB_RANGE,>=1000,COMB_UNIT,PCBOL,TYP_PLANT,Existing,NOX
106,EA_C_MA,POL,POL_NNCF_5,TYP_COMB,LIGNITE,COMB_RANGE,>=1000,COMB_UNIT,PCBOL,TYP_PLANT,New,NOX
107,EA_C_MA,POL,POL_NECF_6,TYP_COMB,LIGNITE,COMB_RANGE,300-1000,COMB_UNIT,PCBOL,TYP_PLANT,Existing,NOX
108,EA_C_MA,POL,POL_NNCF_5,TYP_COMB,LIGNITE,COMB_RANGE,300-1000,COMB_UNIT,PCBOL,TYP_PLANT,New,NOX
