CONT_MEAS,CRITER,CRITER_DESCR,CRIT_UNIT,CRIT_U,CRIT_L,SUBST,COND_GHGU,COND_GHGL,COND_UNIT,ENGN_CATG,VEH_CATG,VEH_SCATG,POWER_L,POWER_U,IGN_TYP,EMS_STG,TYR_CLASS,ENGF_CLASS,VERF_EPREL,RM,RM_L,RM_U,COMBP_L,COMBP_U,OPH_L,TYP_COMB,COMB_UNIT,CALC_MEAS,TYP_PLANT,LADEN_L,LADEN_U,ENERGYV,CRITICALITY
BAT-AEL,DNSH_POL_TVOC_EDC/VCM,Emissions of TVOC to air from the EDC/VCM process,MG/NM3         ,5,0.5,TVOC        ,,,         ,         ,        ,,0,0,       ,       ,         ,          ,          ,   ,0,0,0,0,0,        ,         ,              ,         ,,,,
BAT-AEL,DNSH_POL_HCL_EDC/VCM,Emissions of HCl to air from the production of EDC/VCM,MG/NM3         ,4,1,HCL         ,,,         ,         ,        ,,0,0,       ,       ,         ,          ,          ,   ,0,0,0,0,0,        ,         ,              ,         ,,,,
BAT-AEL,DNSH_POL_CL2_EDC/VCM,Emissions of Cl2 to air from the production of EDC/VCM,MG/NM3         ,10,2,CL2         ,,,         ,         ,        ,,0,0,       ,       ,         ,          ,          ,   ,0,0,0,0,0,        ,         ,              ,         ,,,,
BAT-AEL,DNSH_POL_PCDD/F_EDC/VCM,Emissions of PCDD/F to air from the production of EDC/VCM,NG I-TEQ/NM3   ,0.08,0.025,PCDD/F      ,,,         ,         ,        ,,0,0,       ,       ,         ,          ,          ,   ,0,0,0,0,0,        ,         ,              ,         ,,,,
BAT-AEL,DNSH_POL_EDCVCM,Emissions of EDC and VCM from the production of EDC/VCM,MG/NM3         ,1,0,"EDC,VCM     ",,,         ,         ,        ,,0,0,       ,       ,         ,          ,          ,   ,0,0,0,0,0,        ,         ,              ,         ,,,,
BAT-AEPL,DNSH_POL_EDC,Emission of chlorinated hydrocarbons in waste water at the outlet of a waste water stripper,MG/L           ,0.4,0.1,EDC         ,,,         ,         ,        ,,0,0,       ,       ,         ,          ,          ,   ,0,0,0,0,0,        ,         ,              ,         ,,,,
BAT-AEPL,DNSH_POL_VCM,Emission of chlorinated hydrocarbons in waste water at the outlet of a waste water stripper,MG/L           ,0.05,0,VCM         ,,,         ,         ,        ,,0,0,       ,       ,         ,          ,          ,   ,0,0,0,0,0,        ,         ,              ,         ,,,,
BAT-AEPL,DNSH_POL_CU_EDC,Direct emissions of copper to a receiving water,MG/L           ,0.6,0.4,CU          ,,,         ,         ,        ,,0,0,       ,       ,         ,          ,          ,   ,0,0,0,0,0,        ,         ,              ,         ,,,,
BAT-AEPL,DNSH_POL_PCDD/F_EDC,Direct emissions of PCDD/F to a receiving water,NG I-TEQ/L     ,0.8,0,PCDD/F      ,,,         ,         ,        ,,0,0,       ,       ,         ,          ,          ,   ,0,0,0,0,0,        ,         ,              ,         ,,,,
BAT-AEPL,DNSH_POL_TSS_EDC,Emissions to water from EDC production via oxychlorination at the outlet of the pretreatment for solids removal at plants using the fluidised-bed design,MG/L           ,30,10,TSS         ,,,         ,         ,        ,,0,0,       ,       ,         ,          ,          ,   ,0,0,0,0,0,        ,         ,              ,         ,,,,
